date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:45:44	544/544	---MCZ	200	added ('OK')	text/plain	etag:%22cacheable:d12a3dd095e761e450c51bc88e62cacf%22	https://responsimart.com/robots.txt		(from )
14:45:47	246288/246288	---MCZ	200	added ('OK')	text/html	etag:%22cacheable:515b1943d39005741820bb02dedf62d1%22	https://responsimart.com/	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/index.html	(from )
14:45:50	219855/219855	---M-Z	200	added ('OK')	application/x-javascript	date:Tue,%2012%20Mar%202024%2017:45:47%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Meus%20Sites/site%20de%20vendas/connect.facebook.net/en_US/fbevents.js	(from https://responsimart.com/)
14:46:03	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:46:03%20GMT	http://responsimart.com/cdn/shop/files/Favicon_2_2_96x96.png?v=1708069031	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Favicon_2_2_96x96.18327.delayed	(from https://responsimart.com/)
14:46:19	6466/6466	---M--	200	added ('OK')	image/png	date:Tue,%2005%20Mar%202024%2010:26:29%20GMT	https://responsimart.com/cdn/shop/files/Favicon_2_2_96x96.png?v=1708069031	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/files/Favicon_2_2_96x968327.png	(from https://responsimart.com/)
14:46:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:46:34%20GMT	http://responsimart.com/cdn/shop/t/5/assets/theme.min.css?v=177884354172245145851708068929	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/t/5/assets/theme.min.3d6a0.delayed	(from https://responsimart.com/)
14:46:55	192431/192431	---MCZ	200	added ('OK')	text/css	date:Tue,%2005%20Mar%202024%2017:57:09%20GMT	https://responsimart.com/cdn/shop/t/5/assets/theme.min.css?v=177884354172245145851708068929	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/t/5/assets/theme.mind6a0.css	(from https://responsimart.com/)
14:47:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:47:05%20GMT	http://responsimart.com/cdn/shop/t/5/assets/twitter-title.js?v=27229521937577174981708068929	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/t/5/assets/twitter-title.54e12.delayed	(from https://responsimart.com/)
14:47:27	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:47:26%20GMT	http://responsimart.com/cdn/shop/t/5/assets/twitter-description.js?v=45466488565082738081708068929	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/t/5/assets/twitter-description.7ba2a.delayed	(from https://responsimart.com/)
14:47:42	1957/1957	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2001%20Mar%202024%2023:22:45%20GMT	https://responsimart.com/cdn/shop/t/5/assets/twitter-description.js?v=45466488565082738081708068929	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/shop/t/5/assets/twitter-descriptionba2a.js	(from https://responsimart.com/)
14:48:04	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:48:03%20GMT	http://responsimart.com/cdn/fonts/inter/inter_n4.481bd4d19704ca98fb1d3abd50c668b6962860a2.woff2?h1=M2E3YzFkLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=cmVzcG9uc2ltYXJ0LmNvbQ&hmac=c7b33e3b33e88f79a3bccc6dc92c211b2063ae18f878d8eea79738e283f764d9	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/fonts/inter/inter_n4.481bd4d19704ca98fb1d3abd50c668b6962860a2.a43bc.delayed	(from https://responsimart.com/)
14:48:04	24580/24580	---M--	200	added ('OK')	font/woff2	date:Sat,%2030%20Dec%202023%2017:33:39%20GMT	https://responsimart.com/cdn/fonts/inter/inter_n4.481bd4d19704ca98fb1d3abd50c668b6962860a2.woff2?h1=M2E3YzFkLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=cmVzcG9uc2ltYXJ0LmNvbQ&hmac=c7b33e3b33e88f79a3bccc6dc92c211b2063ae18f878d8eea79738e283f764d9	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/fonts/inter/inter_n4.481bd4d19704ca98fb1d3abd50c668b6962860a243bc.woff2	(from https://responsimart.com/)
14:48:05	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2012%20Mar%202024%2017:48:04%20GMT	http://responsimart.com/cdn/fonts/inter/inter_n6.e443e28dc0f8869f8e2f4fa978e895a4a075406f.woff?h1=M2E3YzFkLTIuYWNjb3VudC5teXNob3BpZnkuY29t&h2=cmVzcG9uc2ltYXJ0LmNvbQ&hmac=66ba428d250d565cdd3697536400b28fd26e1a5e257bbc21bc9c14b09ef98149	C:/Meus%20Sites/site%20de%20vendas/responsimart.com/cdn/fonts/inter/inter_n6.e443e28dc0f8869f8e2f4fa978e895a4a075406f96ae.woff	(from https://responsimart.com/)
